"PhotoName","Phase","Generic","Prompt","Precision"
"Erica_Kaas_1_1.jpg",2,1,"Ingredient List",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient List 2",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient List 3",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient List 4",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient List 5",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient Quantities",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient Quantities 2",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient Quantities 3",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient Quantities 4",1
"Erica_Kaas_1_1.jpg",2,1,"Ingredient Quantities 5",1
"Erica_Kaas_1_1.jpg",2,1,"Recipe Name 1",1
"Erica_Kaas_1_1.jpg",2,1,"Recipe Name 2",1
"Erica_Kaas_1_1.jpg",2,1,"Recipe Name 3",1
"Erica_Kaas_1_1.jpg",2,1,"Recipe Name 4",1
"Erica_Kaas_1_1.jpg",2,1,"Recipe Name 5",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient List",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient List 2",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient List 3",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient List 4",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient List 5",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient Quantities",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient Quantities 2",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient Quantities 3",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient Quantities 4",1
"Erica_Kaas_2_1.jpg",2,1,"Ingredient Quantities 5",1
"Erica_Kaas_2_1.jpg",2,1,"Recipe Name 1",0.875
"Erica_Kaas_2_1.jpg",2,1,"Recipe Name 2",0.875
"Erica_Kaas_2_1.jpg",2,1,"Recipe Name 3",0.875
"Erica_Kaas_2_1.jpg",2,1,"Recipe Name 4",0.875
"Erica_Kaas_2_1.jpg",2,1,"Recipe Name 5",0.875
"Erica_Kaas_2_2.jpg",2,1,"Ingredient List",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient List 2",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient List 3",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient List 4",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient List 5",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient Quantities",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient Quantities 2",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient Quantities 3",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient Quantities 4",1
"Erica_Kaas_2_2.jpg",2,1,"Ingredient Quantities 5",1
"Erica_Kaas_2_2.jpg",2,1,"Recipe Name 1",0.8
"Erica_Kaas_2_2.jpg",2,1,"Recipe Name 2",0.8
"Erica_Kaas_2_2.jpg",2,1,"Recipe Name 3",0.6
"Erica_Kaas_2_2.jpg",2,1,"Recipe Name 4",0.8
"Erica_Kaas_2_2.jpg",2,1,"Recipe Name 5",0.6
"Erica_Kaas_2_3.jpg",2,1,"Ingredient List",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient List 2",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient List 3",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient List 4",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient List 5",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient Quantities",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient Quantities 2",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient Quantities 3",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient Quantities 4",NA
"Erica_Kaas_2_3.jpg",2,1,"Ingredient Quantities 5",NA
"Erica_Kaas_2_3.jpg",2,1,"Recipe Name 1",NA
"Erica_Kaas_2_3.jpg",2,1,"Recipe Name 2",NA
"Erica_Kaas_2_3.jpg",2,1,"Recipe Name 3",NA
"Erica_Kaas_2_3.jpg",2,1,"Recipe Name 4",NA
"Erica_Kaas_2_3.jpg",2,1,"Recipe Name 5",NA
"Erica_Kaas_3_1.jpg",2,1,"Ingredient List",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient List 2",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient List 3",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient List 4",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient List 5",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient Quantities",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient Quantities 2",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient Quantities 3",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient Quantities 4",1
"Erica_Kaas_3_1.jpg",2,1,"Ingredient Quantities 5",1
"Erica_Kaas_3_1.jpg",2,1,"Recipe Name 1",0.8
"Erica_Kaas_3_1.jpg",2,1,"Recipe Name 2",0.8
"Erica_Kaas_3_1.jpg",2,1,"Recipe Name 3",0.8
"Erica_Kaas_3_1.jpg",2,1,"Recipe Name 4",0.8
"Erica_Kaas_3_1.jpg",2,1,"Recipe Name 5",0.8
"Erica_Kaas_1_2.jpg",2,1,"Ingredient List",1
"Erica_Kaas_1_2.jpg",2,1,"Ingredient List 2",1
"Erica_Kaas_1_2.jpg",2,1,"Ingredient List 3",1
"Erica_Kaas_1_2.jpg",2,1,"Ingredient List 4",1
"Erica_Kaas_1_2.jpg",2,1,"Ingredient List 5",1
"Erica_Kaas_1_2.jpg",2,1,"Ingredient Quantities",1
"Erica_Kaas_1_2.jpg",2,1,"Ingredient Quantities 2",1
