"PromptType","rMax","Prompt","m","mpred","r","Mpred","Mcor","SD","PromptMax"
"Point Standard",0.844377712941974,"Point Standard 3",132.752688172043,93.8709677419355,0.831440070909405,120.52582437276,0.827959899648976,39.3196935018945,"Point Standard 5"
"Point Standard",0.844377712941974,"Point Standard 4",132.752688172043,91.0860215053764,0.838967462411554,120.52582437276,0.827959899648976,39.3196935018945,"Point Standard 5"
"Point Standard",0.844377712941974,"Point Standard",132.752688172043,91.6451612903226,0.828007317122202,120.52582437276,0.827959899648976,39.3196935018945,"Point Standard 5"
"Point Standard",0.844377712941974,"Point Standard 2",132.752688172043,91.7956989247312,0.841301523691231,120.52582437276,0.827959899648976,39.3196935018945,"Point Standard 5"
"Point Standard",0.844377712941974,"Point Standard 5",132.752688172043,95.2795698924731,0.844377712941974,120.52582437276,0.827959899648976,39.3196935018945,"Point Standard 5"
"Range Standard",0.857537341036178,"Range Standard 4",132.752688172043,93.0430107526882,0.851095767255279,120.52582437276,0.827959899648976,39.3196935018945,"Range Standard"
"Range Standard",0.857537341036178,"Range Standard",132.752688172043,95.7096774193548,0.857537341036178,120.52582437276,0.827959899648976,39.3196935018945,"Range Standard"
"Range Standard",0.857537341036178,"Range Standard 3",132.752688172043,94.6666666666667,0.837413357608165,120.52582437276,0.827959899648976,39.3196935018945,"Range Standard"
"Range Standard",0.857537341036178,"Range Standard 5",132.752688172043,96.2365591397849,0.838005149563529,120.52582437276,0.827959899648976,39.3196935018945,"Range Standard"
"Range Standard",0.857537341036178,"Range Standard 2",132.752688172043,93.5913978494624,0.844120416609518,120.52582437276,0.827959899648976,39.3196935018945,"Range Standard"
"Spoons Standard",0.809826215606121,"Spoons Standard",132.752688172043,171.772311827957,0.783656552906642,120.52582437276,0.827959899648976,39.3196935018945,"Spoons Standard 3"
"Spoons Standard",0.809826215606121,"Spoons Standard 4",132.752688172043,175.12311827957,0.808290435252233,120.52582437276,0.827959899648976,39.3196935018945,"Spoons Standard 3"
"Spoons Standard",0.809826215606121,"Spoons Standard 5",132.752688172043,176.872043010753,0.807754364617977,120.52582437276,0.827959899648976,39.3196935018945,"Spoons Standard 3"
"Spoons Standard",0.809826215606121,"Spoons Standard 2",132.752688172043,173.655376344086,0.79760480720264,120.52582437276,0.827959899648976,39.3196935018945,"Spoons Standard 3"
"Spoons Standard",0.809826215606121,"Spoons Standard 3",132.752688172043,173.539784946237,0.809826215606121,120.52582437276,0.827959899648976,39.3196935018945,"Spoons Standard 3"
