"PromptType","rMax","Prompt","m","mpred","r","Mpred","Mcor","SD","PromptMax"
"Ingredient List",0.872439848823626,"Ingredient List Standard 4",132.752688172043,98.1182795698925,0.872439848823626,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient List Standard 4"
"Ingredient List",0.872439848823626,"Ingredient List Standard",132.752688172043,100.204301075269,0.849375443150716,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient List Standard 4"
"Ingredient List",0.872439848823626,"Ingredient List Standard 2",132.752688172043,98.8172043010753,0.850987902924079,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient List Standard 4"
"Ingredient List",0.872439848823626,"Ingredient List Standard 3",132.752688172043,98.752688172043,0.866621997094578,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient List Standard 4"
"Ingredient List",0.872439848823626,"Ingredient List Standard 5",132.752688172043,98.1505376344086,0.850373304579228,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient List Standard 4"
"Ingredient Quantities",0.663801311525426,"Ingredient Quantities Standard 3",132.752688172043,129.325268817204,0.663801311525426,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient Quantities Standard 3"
"Ingredient Quantities",0.663801311525426,"Ingredient Quantities Standard",132.752688172043,143.075268817204,0.515287181483287,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient Quantities Standard 3"
"Ingredient Quantities",0.663801311525426,"Ingredient Quantities Standard 2",132.752688172043,129.456989247312,0.630878674045465,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient Quantities Standard 3"
"Ingredient Quantities",0.663801311525426,"Ingredient Quantities Standard 4",132.752688172043,127.623655913978,0.657554800128313,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient Quantities Standard 3"
"Ingredient Quantities",0.663801311525426,"Ingredient Quantities Standard 5",132.752688172043,137.263440860215,0.635356686771926,110.233870967742,0.779474617741102,17.2965528122043,"Ingredient Quantities Standard 3"
"Recipe Name",0.868133449456612,"Recipe Name Standard 1",132.752688172043,98.9784946236559,0.865565153031083,110.233870967742,0.779474617741102,17.2965528122043,"Recipe Name Standard 2"
"Recipe Name",0.868133449456612,"Recipe Name Standard 4",132.752688172043,97.0752688172043,0.856055867543587,110.233870967742,0.779474617741102,17.2965528122043,"Recipe Name Standard 2"
"Recipe Name",0.868133449456612,"Recipe Name Standard 5",132.752688172043,97.9784946236559,0.845412056198254,110.233870967742,0.779474617741102,17.2965528122043,"Recipe Name Standard 2"
"Recipe Name",0.868133449456612,"Recipe Name Standard 2",132.752688172043,99.5376344086021,0.868133449456612,110.233870967742,0.779474617741102,17.2965528122043,"Recipe Name Standard 2"
"Recipe Name",0.868133449456612,"Recipe Name Standard 3",132.752688172043,99.1505376344086,0.864275589360346,110.233870967742,0.779474617741102,17.2965528122043,"Recipe Name Standard 2"
